"sim_idx","method","converged","true_beta","true_R0","pred_beta","pred_R0","n","prevalence","recov","incub","mae","rmse","smape","pearson_r","peak_day_true","peak_day_pred","peak_day_err","peak_size_true","peak_size_pred","rel_peak_err","total_true","total_pred","dieout_pred","err_beta_pct","err_R0_pct","time_sec","cpu_sec","n_evals","n_model_runs"
11813,"ABC-SMC",TRUE,0.3589682,3.3652668,0.357238882536038,3.34905445011116,9158,0.18071632,0.10666858,5.0622773,1.71428571428571,5.71086779649214,8.74868192512037,0.996436773173655,19,16,3,319,290,9.09090906241094,8530,8485,0,0.481745359758438,0.481755118830068,NA,NA,NA,NA
11813,"NelderMead",TRUE,0.3589682,3.3652668,0.380730787743176,3.56928711100472,9158,0.18071632,0.10666858,5.0622773,2.14697802197802,6.85750771694149,9.73122146823455,0.995375517692421,19,15,4,319,307,3.76175547410108,8530,8560.5,0,6.06252228413356,6.06252824826363,NA,NA,NA,NA
11813,"DE",TRUE,0.3589682,3.3652668,0.351818870442109,3.29824274816548,9158,0.18071632,0.10666858,5.0622773,1.68681318681319,5.71423420306453,8.02059665993684,0.996473544178963,19,16,3,319,285,10.6583071766197,8530,8478,0,1.99162757080301,1.99164095750478,NA,NA,NA,NA
11813,"BiLSTM",TRUE,0.3589682,3.3652668,0.368251919746399,3.44435000419617,9158,0.18071632,0.10666858,5.0622773,1.83516483516484,6.01486254444534,8.61475824709751,0.996139475790734,19,15,4,319,296,7.2100313253604,8530,8536,0,2.58621623983309,2.34998249459276,NA,NA,NA,NA
13185,"Oracle",TRUE,0.46670246,3.3498409,0.46670246,3.3498409,7717,0.106388494,0.13932079,10.956147,2.05769230769231,5.01399141304708,16.0412754980512,0.993479937353752,31,29,2,177,166,6.21468923042548,7330,7336,0,0,0,NA,NA,NA,NA
13185,"ABC",TRUE,0.46670246,3.3498409,0.443381974113026,3.18245377529818,7717,0.106388494,0.13932079,10.956147,1.85027472527473,4.51744177823912,15.0781976268533,0.994508225593932,31,31,0,177,157,11.29943496441,7330,7279.5,0,4.99685300961214,4.99686641037655,NA,NA,NA,NA
13185,"ABC-SMC",TRUE,0.46670246,3.3498409,0.443770063814378,3.18523935885217,7717,0.106388494,0.13932079,10.956147,1.85714285714286,4.50518626659357,14.5485088745643,0.994531572756409,31,31,0,177,158,10.7344632161895,7330,7284,0,4.91369748696999,4.91371073804498,NA,NA,NA,NA
13185,"NelderMead",TRUE,0.46670246,3.3498409,0.446721840907064,3.20642626923852,7717,0.106388494,0.13932079,10.956147,1.88186813186813,4.52556838759169,15.0588964445725,0.994470019124172,31,31,0,177,158,10.7344632161895,7330,7277,0,4.28122369029276,4.2812358028443,NA,NA,NA,NA
13185,"DE",TRUE,0.46670246,3.3498409,0.445766952226616,3.19957238418341,7717,0.106388494,0.13932079,10.956147,1.89010989010989,4.5496346912885,14.7810168576435,0.994410613069199,31,32,1,177,159,10.169491467969,7330,7283,0,4.48582656177093,4.48583904263034,NA,NA,NA,NA
13185,"BiLSTM",TRUE,0.46670246,3.3498409,0.44685822725296,3.20775866508484,7717,0.106388494,0.13932079,10.956147,1.84615384615385,4.455673010671,14.9723514097488,0.994636318009039,31,30,1,177,158.5,10.4519773420792,7330,7288,0,4.25200034879531,4.2414609153692,NA,NA,NA,NA
13583,"Oracle",TRUE,0.51025885,2.8817847,0.51025885,2.8817847,7736,0.20333506,0.1770635,9.284979,1.64285714285714,4.59440055758273,10.5822041528769,0.99565179519675,21,18,3,220,194,11.8181817644628,7152,7132,0,0,0,NA,NA,NA,NA
13583,"ABC",TRUE,0.51025885,2.8817847,0.535644770893077,3.02515634726003,7736,0.20333506,0.1770635,9.284979,1.66071428571429,4.87050722813761,10.7917269641655,0.995512144834433,21,19,2,220,203,7.72727269214876,7152,7198.5,0,4.97509668712461,4.97509746335511,NA,NA,NA,NA
13583,"ABC-SMC",TRUE,0.51025885,2.8817847,0.51406861525027,2.90330087934707,7736,0.20333506,0.1770635,9.284979,1.62087912087912,4.54344111251121,9.8138752077711,0.995759235354495,21,18,3,220,194.5,11.5909090382231,7152,7141,0,0.746632377654246,0.746626626229361,NA,NA,NA,NA
13583,"NelderMead",TRUE,0.51025885,2.8817847,0.514721708412895,2.90698934796215,7736,0.20333506,0.1770635,9.284979,1.64835164835165,4.61289997223505,10.6039200716747,0.995637337394047,21,18,3,220,195,11.3636363119835,7152,7147,0,0.874624647205723,0.874619093368052,NA,NA,NA,NA
