"sim_idx","generation","epsilon","next_epsilon","accept_rate","n_sims","ess"
13419,2,56.3841769415774,52.9057706577461,0.359066427289048,412,194.99390759505
13419,3,52.9057706577461,47.064547334579,0.351493848857645,460,197.069503673595
13419,4,47.064547334579,36.5507736610961,0.36697247706422,450,197.096901624338
13419,5,36.5507736610961,23.4918998742126,0.396825396825397,422,196.915099899057
13419,6,23.4918998742126,13.9202412405533,0.396825396825397,429,199.464517665321
960,1,NA,27.8929467999683,1,200,200
960,2,27.8929467999683,26.3153422517507,0.409836065573771,334,196.538972751495
960,3,26.3153422517507,23.9778214681834,0.359712230215827,465,196.853719652506
960,4,23.9778214681834,20.2321679380442,0.392156862745098,423,196.99486012882
960,5,20.2321679380442,15.0779539856262,0.391389432485323,430,195.961507555025
960,6,15.0779539856262,9.94704358726208,0.364298724954463,464,198.721723115456
17744,1,NA,95.3878400285068,1,200,200
17744,2,95.3878400285068,91.3639791903025,0.341296928327645,403,194.899565996623
17744,3,91.3639791903025,85.5958375831145,0.37593984962406,432,196.724107580522
17744,4,85.5958375831145,76.3393303489685,0.3584229390681,454,197.546900109183
17744,5,76.3393303489685,63.5798811441457,0.411522633744856,425,196.120350829706
17744,6,63.5798811441457,41.9309850202276,0.389863547758285,433,195.879590123629
9864,1,NA,98.5932245567387,1,200,200
9864,2,98.5932245567387,86.0341205866982,0.32626427406199,416,195.663622595257
9864,3,86.0341205866982,69.7262307340235,0.390625,442,196.044552654167
9864,4,69.7262307340235,50.049524331043,0.396039603960396,436,195.762719876559
9864,5,50.049524331043,28.9125222226647,0.340715502555366,499,198.82693184229
9864,6,28.9125222226647,15.5563830598954,0.344234079173838,539,199.418268737176
11263,1,NA,89.9274277938086,1,200,200
11263,2,89.9274277938086,86.4921548580284,0.330578512396694,403,195.556506053488
11263,3,86.4921548580284,80.2129548868812,0.40650406504065,405,197.310102888829
11263,4,80.2129548868812,69.1489033006213,0.353356890459364,488,195.358522373891
11263,5,69.1489033006213,50.1580793426621,0.399201596806387,419,196.256629605498
11263,6,50.1580793426621,30.2446794695348,0.383877159309021,446,196.372277062929
15782,1,NA,77.4573099827494,1,200,200
15782,2,77.4573099827494,72.5308383910445,0.27063599458728,469,197.20618599738
15782,3,72.5308383910445,64.3007777189657,0.353356890459364,453,197.647972193781
15782,4,64.3007777189657,54.1534858143872,0.367647058823529,451,197.663135583698
15782,5,54.1534858143872,41.0200815656572,0.37037037037037,454,195.333526603567
15782,6,41.0200815656572,25.4056588741752,0.398406374501992,422,198.300747228117
17196,1,NA,62.4659348445382,1,200,200
17196,2,62.4659348445382,58.4213288313472,0.303951367781155,409,197.654130776168
17196,3,58.4213288313472,52.3623353115515,0.364963503649635,465,196.269711618495
17196,4,52.3623353115515,42.6582130178969,0.394477317554241,425,196.32288684064
17196,5,42.6582130178969,33.0349141505065,0.389105058365759,443,194.235471202064
17196,6,33.0349141505065,19.7954547570001,0.37593984962406,425,199.703972643555
7554,1,NA,26.1005031182774,1,200,200
7554,2,26.1005031182774,24.4302029539275,0.307219662058372,439,196.955098385365
7554,3,24.4302029539275,21.3466133512485,0.350877192982456,470,196.994917751071
7554,4,21.3466133512485,17.1782361150758,0.373134328358209,444,197.665404110961
7554,5,17.1782361150758,11.8471120630997,0.417536534446764,409,196.433612439511
7554,6,11.8471120630997,8.38208471308954,0.385356454720617,450,197.760211455383
10498,1,NA,51.3511799052431,1,200,200
10498,2,51.3511799052431,44.6851267348439,0.313971742543171,426,197.281950566177
10498,3,44.6851267348439,34.4238469189371,0.347222222222222,475,196.878065228895
10498,4,34.4238469189371,23.6511111145495,0.355871886120996,472,197.533360084898
10498,5,23.6511111145495,13.519200731152,0.36563071297989,457,198.541594209511
10498,6,13.519200731152,8.36545091361534,0.359712230215827,517,199.454798934482
17059,1,NA,34.1558520326877,1,200,200
